FID,ET_ID,Lat,Lon
441,0,30.8229,-105.2887
442,0,30.8189,-105.288
443,0,30.818,-105.287
444,0,30.8181,-105.2848
445,0,30.8116,-105.2795
446,0,30.8071,-105.2758
447,0,30.8086,-105.2674
448,0,30.8056,-105.265
449,0,30.8043,-105.2648
450,0,30.8021,-105.2645
451,0,30.8018,-105.2644
452,0,30.8013,-105.264
453,0,30.7999,-105.2629
454,0,30.7996,-105.2627
455,0,30.7995,-105.2626
456,0,30.7968,-105.259
457,0,30.7948,-105.2568
458,0,30.7948,-105.2566
459,0,30.7944,-105.2564
460,0,30.7947,-105.2559
461,0,30.7946,-105.2552
462,0,30.7958,-105.2534
463,0,30.7959,-105.2534
464,0,30.8024,-105.2398
465,0,30.8034,-105.2355
466,0,30.8036,-105.2302
467,0,30.8032,-105.2294
468,0,30.7993,-105.2274
469,0,30.8001,-105.226
470,0,30.8004,-105.2244
471,0,30.8012,-105.2226
472,0,30.8029,-105.2209
473,0,30.8058,-105.2157
474,0,30.8057,-105.2154
475,0,30.8027,-105.2134
476,0,30.8011,-105.2129
477,0,30.7998,-105.2119
478,0,30.7991,-105.211
479,0,30.7986,-105.2107
480,0,30.7933,-105.2157
481,0,30.7933,-105.2169
482,0,30.7926,-105.2179
483,0,30.7894,-105.2194
484,0,30.7886,-105.2201
485,0,30.7878,-105.2195
486,0,30.7864,-105.2194
487,0,30.7854,-105.218
488,0,30.7835,-105.2168
489,0,30.7833,-105.2149
490,0,30.7828,-105.214
491,0,30.7817,-105.2118
492,0,30.7827,-105.209
493,0,30.7827,-105.2086
494,0,30.783,-105.2081
495,0,30.783,-105.208
496,0,30.7831,-105.208
497,0,30.7874,-105.2022
498,0,30.788,-105.2014
499,0,30.7877,-105.1999
500,0,30.7898,-105.1982
501,0,30.791,-105.1972
502,0,30.7923,-105.1956
503,0,30.7808,-105.1862
504,0,30.7724,-105.1794
505,0,30.771,-105.1786
506,0,30.7683,-105.1767
507,0,30.768,-105.1759
508,0,30.7676,-105.1755
509,0,30.7678,-105.1754
510,0,30.7673,-105.1743
511,0,30.7693,-105.1722
512,0,30.7716,-105.1703
513,0,30.776,-105.1684
514,0,30.7767,-105.1682
515,0,30.7795,-105.1659
516,0,30.7712,-105.1636
517,0,30.7694,-105.1562
518,0,30.7657,-105.1574
519,0,30.7571,-105.1602
520,0,30.7554,-105.161
521,0,30.7552,-105.1608
522,0,30.7524,-105.1617
523,0,30.7532,-105.1548
524,0,30.7519,-105.1527
525,0,30.7519,-105.15
526,0,30.7534,-105.1479
527,0,30.7543,-105.1456
528,0,30.7544,-105.1447
529,0,30.7546,-105.1428
530,0,30.7476,-105.1267
531,0,30.7496,-105.1186
532,0,30.7482,-105.1192
533,0,30.7475,-105.1196
534,0,30.747,-105.1201
535,0,30.7459,-105.1204
536,0,30.7456,-105.1203
537,0,30.7442,-105.1208
538,0,30.7433,-105.1114
539,0,30.743,-105.1116
540,0,30.7426,-105.1117
541,0,30.7422,-105.1114
542,0,30.7422,-105.1112
543,0,30.7334,-105.112
544,0,30.7288,-105.1034
545,0,30.7237,-105.1056
546,0,30.719,-105.0982
547,0,30.7184,-105.0978
548,0,30.7179,-105.0972
549,0,30.7178,-105.0962
550,0,30.7118,-105.0868
551,0,30.7111,-105.0869
552,0,30.7109,-105.0866
553,0,30.7108,-105.086
554,0,30.7109,-105.0853
555,0,30.7079,-105.0806
556,0,30.7032,-105.082
557,0,30.7014,-105.0826
558,0,30.7017,-105.0809
559,0,30.7011,-105.0803
560,0,30.7006,-105.0788
561,0,30.701,-105.0772
562,0,30.7024,-105.0754
563,0,30.7025,-105.0753
564,0,30.7029,-105.0725
565,0,30.7028,-105.0709
566,0,30.7028,-105.0696
567,0,30.7034,-105.0688
568,0,30.7022,-105.0674
569,0,30.7015,-105.0672
570,0,30.7005,-105.066
571,0,30.6998,-105.0649
572,0,30.6998,-105.0645
573,0,30.6982,-105.0627
574,0,30.6921,-105.0623
575,0,30.6915,-105.0623
576,0,30.691,-105.0625
577,0,30.6909,-105.0627
578,0,30.6901,-105.0631
579,0,30.6893,-105.0631
580,0,30.6878,-105.0621
581,0,30.6877,-105.0621
582,0,30.6858,-105.0619
583,0,30.6869,-105.0593
584,0,30.6869,-105.0592
585,0,30.6871,-105.0586
586,0,30.687,-105.0584
587,0,30.6873,-105.0584
588,0,30.6877,-105.0573
589,0,30.6821,-105.0546
590,0,30.6799,-105.0469
591,0,30.6814,-105.0469
592,0,30.6807,-105.0455
593,0,30.6807,-105.0449
594,0,30.6807,-105.0447
595,0,30.6827,-105.0451
596,0,30.6832,-105.0449
597,0,30.684,-105.0441
598,0,30.6854,-105.0446
599,0,30.6863,-105.0458
600,0,30.6876,-105.0466
601,0,30.6882,-105.0466
602,0,30.6885,-105.0395
603,0,30.6845,-105.0344
604,0,30.6829,-105.0324
605,0,30.6822,-105.032
606,0,30.6816,-105.0314
607,0,30.6814,-105.0305
608,0,30.6789,-105.0272
609,0,30.6804,-105.0228
610,0,30.6833,-105.0143
611,0,30.6828,-105.0134
612,0,30.6828,-105.0129
613,0,30.683,-105.0125
614,0,30.6839,-105.0115
615,0,30.6843,-105.0111
616,0,30.6858,-105.0069
617,0,30.6726,-105.0014
618,0,30.6674,-104.9937
619,0,30.6669,-104.9938
620,0,30.6662,-104.9932
621,0,30.6657,-104.9931
622,0,30.6654,-104.9928
623,0,30.6653,-104.9918
624,0,30.6649,-104.9901
625,0,30.6624,-104.9864
626,0,30.6611,-104.9866
627,0,30.6561,-104.9861
628,0,30.6547,-104.9856
629,0,30.65,-104.9849
630,0,30.6352,-104.9842
631,0,30.6327,-104.9829
632,0,30.6322,-104.9829
633,0,30.6311,-104.9825
634,0,30.6302,-104.9818
635,0,30.6303,-104.9817
636,0,30.6263,-104.9798
637,0,30.6259,-104.9803
638,0,30.6256,-104.9803
639,0,30.6254,-104.9802
640,0,30.625,-104.98
641,0,30.6248,-104.9797
642,0,30.6242,-104.9795
643,0,30.6234,-104.9797
644,0,30.6231,-104.98
645,0,30.6227,-104.9801
646,0,30.6217,-104.9797
647,0,30.6203,-104.9782
648,0,30.6188,-104.9778
649,0,30.6166,-104.9761
650,0,30.6146,-104.9748
651,0,30.6133,-104.9745
652,0,30.6118,-104.9731
653,0,30.6108,-104.9725
654,0,30.6104,-104.9718
655,0,30.61,-104.9717
656,0,30.61,-104.9714
657,0,30.6095,-104.9706
658,0,30.6089,-104.9689
659,0,30.6087,-104.9687
660,0,30.6085,-104.9682
661,0,30.6084,-104.9666
662,0,30.6088,-104.9641
